ball_num,comment,datetime
54.4,"Starc to U Yadav, 2 runs, backs away and tucks it very awkwardly. Again turning his eyes away off the ball to place it on to the on-side for a single","Dec 18, 2018 8:44:37 AM"
54.3,"Starc to U Yadav, no run, superb bit of work from the man at FSL. Yadav backed away and tucked it nicely but found the man at FSL","Dec 18, 2018 8:43:51 AM"
54.2,"Starc to U Yadav, no run, backs away and looks to slog it into orbit and misses. He has missed the ball by a light year","Dec 18, 2018 8:43:10 AM"
54.1,"Starc to U Yadav, no run, that pings the grille..Ouch! Yadav was turning his face away against the bumper and he had no way out. You cannot take your eyes off the ball","Dec 18, 2018 8:41:59 AM"
53.6,"Lyon to Ishant, no run, stays behind the turn of the ball and blocks it","Dec 18, 2018 8:40:48 AM"
53.5,"Lyon to Ishant, no run, turn, bounce, beats the blade and a huge appeal. Paine went up but did not get enough support from the others. They decided not to review","Dec 18, 2018 8:40:37 AM"
53.4,"Lyon to Pant, <b>out</b> Caught by Handscomb!! Whatta catch! Handscomb has just inked the final writing on the wall. Pant jumped out, looked to hoick it and managed to inside halve the ball away for the man at mid-wicket to leap to his left and take it. That was low, dipping away from him and he leapt away towards his left to take it. <b>Pant c Handscomb b Lyon 30(61) [4s-2]</b>","Dec 18, 2018 8:38:11 AM"
53.3,"Lyon to Pant, no run, flatter, bit of bounce on it and has been left alone after a close look","Dec 18, 2018 8:37:43 AM"
53.2,"Lyon to Pant, no run, stays back and pushes the ball out into the off-side","Dec 18, 2018 8:37:05 AM"
53.1,"Lyon to Pant, <b>FOUR</b>, controls the cut and slashes it behind square for a four. Lovely timing and placement on it","Dec 18, 2018 8:36:30 AM"
52.6,"Starc to U Yadav, no run, stays back and punches the ball away into the off-side off the back foot. 154 runs needed now","Dec 18, 2018 8:35:24 AM"
52.5,"Starc to U Yadav, no run, huge appeal! Tucks the batsman up who was hopping back. It might have pitched outside leg and was angling away. Would have missed the off-pole","Dec 18, 2018 8:34:45 AM"
52.4,"Starc to U Yadav, no run, short ball down leg and Yadav trying to hook it, slips and falls down. Looked comical","Dec 18, 2018 8:33:56 AM"
52.3,"Starc to U Yadav, no run, hello says Starc! Remember yesterday? Indian bowlers had dished out a few short stuff and time for them to handle it now. That almost pinged the helmet as U Yadav tried to sway away","Dec 18, 2018 8:33:16 AM"
52.2,"Starc to Pant, 1 run, stabs the ball out into the on-side and gets a single. He wanted a double but the fielder from the deep mid region was quick to respond and did not allow the second","Dec 18, 2018 8:32:14 AM"
52.1,"Starc to Pant, no run, banged in short and has been nudged out into the on-side","Dec 18, 2018 8:31:29 AM"
51.6,"Lyon to U Yadav, no run, darter, takes the inside edge and flies flat past the man at FSL. The man there never had a chance but all of it looked a touch dramatic. Effects of day 5","Dec 18, 2018 8:30:04 AM"
51.5,"Lyon to U Yadav, no run, stabs the ball out into the off-side off the front foot","Dec 18, 2018 8:29:43 AM"
51.4,"Lyon to U Yadav, no run, too full, whipped back to the bowler","Dec 18, 2018 8:29:25 AM"
51.3,"Lyon to U Yadav, no run, another well aired up delivery and has been blocked off the front foot","Dec 18, 2018 8:29:08 AM"
51.2,"Lyon to U Yadav, no run, tossed up delivery and has been defended","Dec 18, 2018 8:28:49 AM"
51.1,"Lyon to Pant, 1 run, chips down the track and blasts the ball away for the man at long-off to cut it off","Dec 18, 2018 8:28:28 AM"
50.6,"Starc to Pant, 1 run, brute of a bumper. And the gully fielder was taken off the ball before and that is exactly where this ball goes. It reared up on the batsman, who arched back and fended it for the ball to go aerial in that zone","Dec 18, 2018 8:27:12 AM"
50.5,"Starc to Pant, no run, taps the ball out into the covers","Dec 18, 2018 8:26:24 AM"
50.4,"Starc to Pant, 2 runs, short ball, slashed over the man at point and they will get a double. Harris and Lyon collided but thankfully nothing serious. Both of them tried to cut it off but did not succeed","Dec 18, 2018 8:25:50 AM"
50.3,"Starc to Pant, no run, slips the short ball down leg and Pant looks to pull and misses","Dec 18, 2018 8:25:03 AM"
50.2,"Starc to Pant, no run, controlled steer outside off and the ball flies away over the cordon for it to be picked up by the man at deep third","Dec 18, 2018 8:24:00 AM"
50.1,"Starc to Pant, no run, spears it in and Pant dinks the ball away behind square. Denies a single again","Dec 18, 2018 8:23:22 AM"
49.6,"Lyon to U Yadav, no run, stays behind the line of the ball and defends it into the deck","Dec 18, 2018 8:22:01 AM"
49.5,"Lyon to U Yadav, no run, pushes forward and is beaten on the outer edge. That turned in and Yadav tried to play for the spin but it did not turn as much as he expected it to","Dec 18, 2018 8:21:35 AM"
49.4,"Lyon to U Yadav, no run, tossed up delivery and has been pushed back to the bowler","Dec 18, 2018 8:21:16 AM"
49.3,"Lyon to U Yadav, no run, forward and defending into the off-side","Dec 18, 2018 8:20:54 AM"
49.2,"Lyon to U Yadav, no run, floated up wide, Yadav looks to slash it and misses","Dec 18, 2018 8:20:36 AM"
49.1,"Lyon to U Yadav, no run, tossed up delivery and has been blocked back to the bowler","Dec 18, 2018 8:20:15 AM"
48.6,"Starc to Pant, <b>FOUR</b>, slashes and slashes hard..the ball flies away fine over the cordon for a four","Dec 18, 2018 8:19:11 AM"
48.5,"Starc to Pant, no run, back of a length delivery and climbing on to the batsman. Pant taps it out into the off-side and is furious as Yadav did not respond for the call of a single. Immediately tells him in hindi: 'start toh lo' (at least take a start)","Dec 18, 2018 8:18:24 AM"
48.4,"Starc to Pant, 2 runs, push drives the ball away into the off-side and before the man at long-off could cut it off, they get a double. Again good running from Pant","Dec 18, 2018 8:17:47 AM"
48.3,"Starc to Pant, no run, drives and drives well..man at long-off cuts it off","Dec 18, 2018 8:17:02 AM"
48.2,"Starc to Pant, 2 runs, neat tuck off the pads into the on-side and they get a brace. That was excellent thinking from Pant","Dec 18, 2018 8:16:27 AM"
48.1,"Starc to Pant, no run, squares the batsman up and has been stabbed away just behind square","Dec 18, 2018 8:15:40 AM"
47.6,"Lyon to U Yadav, no run, another firm push back to the bowler","Dec 18, 2018 8:14:28 AM"
47.5,"Lyon to U Yadav, no run, stays behind the line of the ball and defends it into the off-side","Dec 18, 2018 8:14:09 AM"
47.4,"Lyon to Pant, 1 run, stays back and punches it into the off-side for a single","Dec 18, 2018 8:13:36 AM"
47.3,"Lyon to Pant, no run, turning away and left alone","Dec 18, 2018 8:13:12 AM"
47.2,"Lyon to Pant, no run, tapped out into the off-side","Dec 18, 2018 8:13:03 AM"
47.1,"Lyon to Pant, no run, and that was almost over! Looks to throw his bat at it and gets it off the splice of the bat. The ball lands just short of cover","Dec 18, 2018 8:12:59 AM"
46.6,"Starc to Hanuma Vihari, <b>out</b> Caught by Marcus Harris!! That nipped into the batsman, Hanuma got an inside edge and it lobbed up for the man at square leg to take it. Off the thigh pad and it carried a long distance for the fielder to take an easy catch. His resistance has ended and that too on an unfortunate note. <b>Hanuma Vihari c Marcus Harris b Starc 28(75) [4s-4]</b>","Dec 18, 2018 8:11:14 AM"
46.5,"Starc to Hanuma Vihari, no run, another length delivery channelling away and has been stabbed out into the off-side","Dec 18, 2018 8:09:36 AM"
46.4,"Starc to Hanuma Vihari, no run, stays behind the back of a length delivery and defends it into the off-side","Dec 18, 2018 8:09:00 AM"
46.3,"Starc to Pant, 1 run, plays a loose drive outside off and gets it off the outer edge towards deep third man for a single","Dec 18, 2018 8:08:21 AM"
46.2,"Starc to Hanuma Vihari, 1 run, extra bounce climbing up on to the ribs, has been jabbed down into the on-side for a single","Dec 18, 2018 8:07:44 AM"
46.1,"Starc to Hanuma Vihari, no run, bangs the ball in outside off and has been left alone as Hanuma Vihari dropped his wrists","Dec 18, 2018 8:06:53 AM"
45.6,"Lyon to Hanuma Vihari, 1 run, kneels down and sweeps it to deep square leg for a single","Dec 18, 2018 8:05:56 AM"
45.5,"Lyon to Hanuma Vihari, no run, gets hit on the back pad after trying to charge down the track. The ball drops dead into the off-side","Dec 18, 2018 8:05:27 AM"
45.4,"Lyon to Hanuma Vihari, no run, flatter ball, punched back to the bowler","Dec 18, 2018 8:05:08 AM"
45.3,"Lyon to Hanuma Vihari, no run, charges out and pushes the ball away into the off-side","Dec 18, 2018 8:04:50 AM"
45.2,"Lyon to Hanuma Vihari, no run, looks to paddle away a flatter ball and misses. Gets rapped on the pads","Dec 18, 2018 8:04:30 AM"
45.1,"Lyon to Hanuma Vihari, no run, goes back and stabs the ball out into the off-side","Dec 18, 2018 8:04:12 AM"
44.6,"Starc to Pant, no run, brute out of nowhere! The ball lands just outside off and takes off to whizz past the outer edge. Pant greets the stare from Starc with a smile","Dec 18, 2018 8:03:21 AM"
44.5,"Starc to Pant, no run, shorter ball outside off and has been left alone","Dec 18, 2018 8:02:42 AM"
44.4,"Starc to Pant, no run, length delivery outside off and has been pushed out into the off-side","Dec 18, 2018 8:02:06 AM"
44.3,"Starc to Pant, no run, full and little wide, Pant does not take the bait","Dec 18, 2018 8:01:25 AM"
44.2,"Starc to Pant, no run, back of a length delivery just outside off and has been pushed out into the off-side","Dec 18, 2018 8:00:48 AM"
44.1,"Starc to Pant, no run, back of a length delivery and has been pushed away into the off-side off the back foot","Dec 18, 2018 8:00:04 AM"
43.6,"Lyon to Hanuma Vihari, no run, tossed up delivery and has been blocked out into the off-side","Dec 18, 2018 7:59:03 AM"
43.5,"Lyon to Hanuma Vihari, no run, flatter ball, pushed back to the bowler","Dec 18, 2018 7:58:44 AM"
43.4,"Lyon to Pant, 1 run, goes back to a flatter ball and inside edged into the on-side for a single. That was tight","Dec 18, 2018 7:58:22 AM"
43.3,"Lyon to Pant, no run, stays behind the line of the ball and defends it","Dec 18, 2018 7:57:49 AM"
43.2,"Lyon to Pant, no run, turns away sharply and beats the forward push. The keeper whips the bails off but his feet were back in the crease","Dec 18, 2018 7:57:21 AM"
43.1,"Lyon to Pant, no run, tossed up delivery and dipping in, defends it","Dec 18, 2018 7:57:01 AM"
42.6,"Starc to Pant, 1 run, square drives the ball on the up and gets it to deep point for a single","Dec 18, 2018 7:56:09 AM"
42.5,"Starc to Pant, no run, looks to draw the false shot by bowling a very full and wide ball. But Pant lets it go","Dec 18, 2018 7:55:27 AM"
42.4,"Starc to Pant, no run, very full, tailing in a bit and has been knocked away into the on-side","Dec 18, 2018 7:54:51 AM"
42.3,"Starc to Pant, no run, shapes the ball in and has been dinked into the on-side","Dec 18, 2018 7:54:13 AM"
42.2,"Starc to Hanuma Vihari, 1 run, angles the ball in and has been stabbed away into the on-side off the inside edge","Dec 18, 2018 7:53:15 AM"
42.1,"Starc to Hanuma Vihari, no run, angled across and has been left alone","Dec 18, 2018 7:52:34 AM"
41.6,"Lyon to Pant, no run, flat bats the ball awya into the off-side, picked up by the man at point","Dec 18, 2018 7:51:26 AM"
41.5,"Lyon to Pant, no run, that drifts in and Pant fends the ball out into the off-side","Dec 18, 2018 7:51:03 AM"
41.4,"Lyon to Pant, no run, tossed up delivery outside off and has been left alone","Dec 18, 2018 7:50:44 AM"
41.3,"Lyon to Pant, no run, flatter ball and has been pushed back to the bowler","Dec 18, 2018 7:50:26 AM"
41.2,"Lyon to Hanuma Vihari, 1 run, wristed down the ground to long-on for a single","Dec 18, 2018 7:49:52 AM"
41.1,"Lyon to Hanuma Vihari, no run, tossed up delivery outside off and has been left alone","Dec 18, 2018 7:49:30 AM"
40.6,"Starc to Pant, no run, fine leg, short leg for the final ball of the day and Starc does the double-bluff, sets the field for a short ball, but bowls an inswinging yorker, Pant was expecting that, defended well and smiles at the bowler","Dec 17, 2018 3:24:32 PM"
40.5,"Starc to Pant, no run, full and outside off stump, Pant drives it to mid-off","Dec 17, 2018 3:23:27 PM"
40.4,"Starc to Pant, no run, mistimed one-handed push to cover from Pant","Dec 17, 2018 3:22:47 PM"
40.3,"Starc to Pant, no run, poor poke for a defence, fullish delivery outside off stump, Pant leans forward to defend, but played away from the body","Dec 17, 2018 3:22:05 PM"
40.2,"Starc to Pant, no run, short and wide outside off stump, left alone","Dec 17, 2018 3:21:23 PM"
40.1,"Starc to Pant, no run, short of length delivery down the leg-side, Pant misses the glance, Paine collects","Dec 17, 2018 3:20:50 PM"
39.6,"Lyon to Hanuma Vihari, no run, oh almost takes the glove, flighted delivery outside off stump, Vihari covers the stumps and shoulders arms, sharp turn and bounce, Paine couldn't collect","Dec 17, 2018 3:19:50 PM"
39.5,"Lyon to Hanuma Vihari, no run, shortish delivery on the stumps, Vihari defends","Dec 17, 2018 3:19:29 PM"
39.4,"Lyon to Hanuma Vihari, no run, gets a good stride forward to defend this flighted delivery","Dec 17, 2018 3:19:06 PM"
39.3,"Lyon to Pant, 1 run, what was that from Pant? This could be the final over of the day, but he races down the track and slogs despite not being to the pitch of the ball, the ball nearly carries to short mid-wicket, who dives and gets a hand on the ball","Dec 17, 2018 3:18:35 PM"
39.2,"Lyon to Pant, no run, bounce outside off stump, but Pant didn't offer a shot","Dec 17, 2018 3:17:57 PM"
39.1,"Lyon to Pant, 2 runs, slider from round the wicket, Pant defends and gets an inside edge that rolls behind square on the on-side, the drift almost did him there","Dec 17, 2018 3:17:36 PM"
38.6,"Starc to Hanuma Vihari, no run, short and down the leg-side, left alone","Dec 17, 2018 3:16:28 PM"
38.5,"Starc to Hanuma Vihari, no run, short of length delivery just outside off stump, Vihari defends off the back foot","Dec 17, 2018 3:15:49 PM"
38.4,"Starc to Hanuma Vihari, no run, short and down the leg-side, Vihari tries to pull it away, misses","Dec 17, 2018 3:15:12 PM"
38.3,"Starc to Pant, 1 run, short of length delivery on the leg stump, Pant flicks it to long leg","Dec 17, 2018 3:14:27 PM"
38.2,"Starc to Pant, no run, shortish delivery outside off stump, Pant lets it pass","Dec 17, 2018 3:13:48 PM"
38.1,"Starc to Pant, 2 runs, chipped in the airrr but wide of the man at point, good length delivery just outside off stump, Pant tries to defend, the ball goes off the leading edge, went with hard hands there","Dec 17, 2018 3:13:14 PM"
37.6,"Lyon to Hanuma Vihari, no run, fullish delivery outside off stump, Vihari leans forward and defends","Dec 17, 2018 3:12:13 PM"
37.5,"Lyon to Hanuma Vihari, no run, shortish delivery outside off stump, left alone","Dec 17, 2018 3:11:50 PM"
37.4,"Lyon to Hanuma Vihari, no run, flighted delivery outside off stump, Vihari leans forward and drives it to cover","Dec 17, 2018 3:11:33 PM"
37.3,"Lyon to Hanuma Vihari, no run, the slider, but it's hit a crack and moved away from the right-hander, Vihari didn't offer a shot though","Dec 17, 2018 3:11:10 PM"
37.2,"Lyon to Hanuma Vihari, no run, goes back and punches this incoming ball to point","Dec 17, 2018 3:10:52 PM"
37.1,"Lyon to Pant, 1 run, short and wide outside off stump, Pant cuts it to deep cover","Dec 17, 2018 3:10:29 PM"
36.6,"Starc to Hanuma Vihari, <b>FOUR</b>, shortish delivery down the leg-side, Vihari tries to defend, the ball rolls to fine leg off the glove","Dec 17, 2018 3:09:35 PM"
36.5,"Starc to Hanuma Vihari, no run, short of length delivery on the stumps, Vihari defends","Dec 17, 2018 3:09:05 PM"
36.4,"Starc to Pant, 1 run, driven away to mid-off","Dec 17, 2018 3:08:56 PM"
36.3,"Starc to Pant, no run, another one past the edge, good length delivery outside off stump, Pant leans forward to block, this is almost 140kph and he had no clue about it","Dec 17, 2018 3:08:27 PM"
36.2,"Starc to Pant, no run, oh hit on the thigh pad, incoming short of length delivery, Pant is beaten for pace, tried to defend, but the pace and bounce off the pitch troubled him there","Dec 17, 2018 3:06:39 PM"
36.1,"Starc to Pant, no run, beaten, Pant was on the front foot to defend, but this fullish ball moves away late and goes past the bat","Dec 17, 2018 3:06:04 PM"
35.6,"Lyon to Pant, 1 run, short and wide outside off stump, Pant cuts it to deep point","Dec 17, 2018 3:04:22 PM"
35.5,"Lyon to Hanuma Vihari, 1 run, nice drive off the front foot, but the fielder at mid-off dives to his left and makes a good save","Dec 17, 2018 3:03:45 PM"
35.4,"Lyon to Hanuma Vihari, no run, paddled away, but backward square is in position and he's very fine","Dec 17, 2018 3:03:21 PM"
35.3,"Lyon to Hanuma Vihari, no run, defended off the back foot","Dec 17, 2018 3:02:59 PM"
35.2,"Lyon to Hanuma Vihari, no run, shortish delivery outside off stump, Vihari punches it towards cover-point","Dec 17, 2018 3:02:37 PM"
35.1,"Lyon to Hanuma Vihari, no run, ohh almost through, Vihari exposed the sticks and tried to sweep, the ball hit the glove","Dec 17, 2018 3:02:07 PM"
34.6,"Hazlewood to Pant, no run, oh short and down the leg-side, ignored, good take from Paine, moved to his left quickly despite being wrong footed","Dec 17, 2018 3:00:45 PM"
34.5,"Hazlewood to Rahane, <b>out</b> Caught by Head!! Oh no! You got to be kidding me! Nothing ball and Rahane has smashed this straight to hand. Good length delivery outside off stump, Rahane hit that hard, timed it from the middle of the bat, but finds Head at point and that's a good catch taken around head height with the sun almost in his eyes. India are five down and a win probably looks out of reach now. <b>Rahane c Head b Hazlewood 30(47) [4s-2 6s-1]</b>","Dec 17, 2018 2:58:01 PM"
34.4,"Hazlewood to Rahane, no run, good length delivery on the off stump, Rahane defends off the back foot","Dec 17, 2018 2:57:05 PM"
34.3,"Hazlewood to Rahane, no run, oh hit on the thigh pad, but the ball moves back in and cramps Rahane on the flick","Dec 17, 2018 2:56:26 PM"
34.2,"Hazlewood to Rahane, no run, short delivery on the stumps, Rahane looks to pull/hook, the ball bounced steeply and also came back in a touch to force Rahane out of the way at the last moment","Dec 17, 2018 2:55:47 PM"
34.1,"Hazlewood to Rahane, no run, shortish delivery outside off stump, Rahane looks to cut, hits it into the pitch, the ball bounces to gully","Dec 17, 2018 2:55:02 PM"
33.6,"Pat Cummins to Hanuma Vihari, no run, outswinger outside off stump, Vihari shoulders arms","Dec 17, 2018 2:53:54 PM"
33.5,"Pat Cummins to Hanuma Vihari, no run, short of length delivery on the stumps, Vihari defends to short mid-wicket","Dec 17, 2018 2:53:16 PM"
33.4,"Pat Cummins to Rahane, 1 run, pulled away, but Rahane manages to control this short ball, sends it behind square on the on-side","Dec 17, 2018 2:52:40 PM"
33.3,"Pat Cummins to Rahane, no run, good length delivery on the stumps, Rahane defends off the back foot","Dec 17, 2018 2:51:49 PM"
33.2,"Pat Cummins to Rahane, no run, closer to off, limited feet movement from Rahane to defend it on the off-side","Dec 17, 2018 2:51:08 PM"
33.1,"Pat Cummins to Rahane, no run, back of a length delivery holding its line outside off, left alone","Dec 17, 2018 2:50:31 PM"
32.6,"Hazlewood to Hanuma Vihari, no run, pitched up, cleanly driven, but straight to mid-off. A maiden over!","Dec 17, 2018 2:49:20 PM"
32.5,"Hazlewood to Hanuma Vihari, no run, decks in from a length and gets hit on the front pad adjacent to the sticks. However, there was a faint inside edge before that - hence no appeal from the Australians. He was struck above the knee-roll, so height would have been a factor had there been no bat","Dec 17, 2018 2:48:36 PM"
32.4,"Hazlewood to Hanuma Vihari, no run, zippy bouncer, Vihari hunkers under it","Dec 17, 2018 2:47:57 PM"
32.3,"Hazlewood to Hanuma Vihari, no run, on a good length, Vihari bunts it to mid-on","Dec 17, 2018 2:47:16 PM"
32.2,"Hazlewood to Hanuma Vihari, no run, fuller than a good length, a compact defence off the front foot follows","Dec 17, 2018 2:46:37 PM"
32.1,"Hazlewood to Hanuma Vihari, no run, pushes a fullish ball to mid-on","Dec 17, 2018 2:45:57 PM"
31.6,"Pat Cummins to Rahane, no run, a hop followed by a defensive tap towards point with soft hands against a short of length delivery","Dec 17, 2018 2:44:59 PM"
31.6,"Pat Cummins to Rahane, <b>wide</b>, a bouncer from Cummins, a tad too short and Rahane sways away from it. Called as a wide for height","Dec 17, 2018 2:44:29 PM"
31.5,"Pat Cummins to Hanuma Vihari, 1 run, back of a length delivery outside off, Vihari rides the bounce and steers it to third man","Dec 17, 2018 2:43:43 PM"
31.4,"Pat Cummins to Hanuma Vihari, no run, similar length, Vihari covers the line before dead-batting it on the off-side adjacent to the pitch","Dec 17, 2018 2:42:56 PM"
31.3,"Pat Cummins to Hanuma Vihari, no run, shortish again, Vihari drops it into the pitch","Dec 17, 2018 2:42:08 PM"
31.2,"Pat Cummins to Hanuma Vihari, no run, ooh! That's misbehaved off the deck. Cummins banged it in short and the ball never bounced, Vihari trusted the bounce and was ducking for cover. Luckily, the ball bounced just enough to go over the glove","Dec 17, 2018 2:41:32 PM"
31.1,"Pat Cummins to Hanuma Vihari, <b>FOUR</b>, nicely done! Hint of inswing in this full-pitched ball and Vihari doesn't over-hit. Just a push downtown and there was no mid-on","Dec 17, 2018 2:40:59 PM"
30.6,"Hazlewood to Hanuma Vihari, 1 run, straighter line and Vihari tucks it into the leg-side for a single","Dec 17, 2018 2:39:03 PM"
30.5,"Hazlewood to Hanuma Vihari, no run, shortish outside off, a skiddy ball, Vihari drops his wrists and sways away from it","Dec 17, 2018 2:38:19 PM"
30.4,"Hazlewood to Hanuma Vihari, no run, 139.6kph, full and angling in, Vihari knocks it to mid-on","Dec 17, 2018 2:37:40 PM"
30.3,"Hazlewood to Hanuma Vihari, no run, bangs it in short, but the angle takes it down leg, Vihari half-ducks to let it go","Dec 17, 2018 2:37:04 PM"
30.2,"Hazlewood to Hanuma Vihari, no run, 132.7kph, fuller than a good length ball, Vihari leans forward and drives it to wide mid-off","Dec 17, 2018 2:36:25 PM"
30.1,"Hazlewood to Rahane, 1 run, length ball, but the line is too straight, Rahane helps it on its way to long leg","Dec 17, 2018 2:35:47 PM"
29.6,"Lyon to Rahane, 3 runs, rare short ball from Lyon, provides width as well, Rahane rocks back and cuts through point for a triple","Dec 17, 2018 2:34:43 PM"
29.5,"Lyon to Rahane, no run, forward and blocked","Dec 17, 2018 2:34:07 PM"
29.4,"Lyon to Rahane, <b>FOUR</b>, drifting away, Rahane gets into an awkward position after stepping out of his crease. He had to stick his bat out and gets a fat outside edge that evades first slip and tickles away to third man","Dec 17, 2018 2:33:40 PM"
29.3,"Lyon to Rahane, no run, plunges forward and offers his pad to this off-break with extra bounce. Pops up off the pad, brushes the glove and falls into the off-side","Dec 17, 2018 2:33:03 PM"
29.2,"Lyon to Rahane, no run, goes for the pull to a not-so-short ball, Rahane was probably early into his shot and the ball dies down on the off-side off his body","Dec 17, 2018 2:32:40 PM"
29.1,"Lyon to Rahane, no run, in-turner from a short of length, blunted into the leg-side","Dec 17, 2018 2:32:21 PM"
28.6,"Hazlewood to Hanuma Vihari, no run, 140kph, short of a length ball that holds its line around the fifth stump channel, Vihari hangs back to defend and gets a thick-ish edge that falls short of the slip fielder","Dec 17, 2018 2:31:13 PM"
28.5,"Hazlewood to Rahane, 1 run, back of a length delivery on the ribs, Rahane awkwardly fends it through the vacant short leg region. Scampers through for a quick single","Dec 17, 2018 2:30:37 PM"
28.4,"Hazlewood to Rahane, no run, short of length delivery on the stumps, Rahane blocks","Dec 17, 2018 2:29:54 PM"
28.3,"Hazlewood to Rahane, no run, the crowd went up, but nothing from the Australian fielders. A sharp head-high bouncer that got big on the batter. Rahane goes for the pull/hook despite being in no position to play it. The ball evades the glove and Paine catches it flying to his left","Dec 17, 2018 2:29:20 PM"
28.2,"Hazlewood to Rahane, 2 runs, Hazlewood hurls it full and Rahane doesn't over-hit. Slightly opens his bat-face and push-drives through the covers for a couple","Dec 17, 2018 2:28:38 PM"
28.1,"Hazlewood to Rahane, no run, skiddy in-angler, might have jagged in off the deck too, Rahane jumps and taps it to cover with soft hands. The bottom hand comes off the handle too","Dec 17, 2018 2:27:51 PM"
27.6,"Lyon to Rahane, 1 run, Rahane does the same. A jog down the track followed by a dink to long-on","Dec 17, 2018 2:26:48 PM"
27.5,"Lyon to Hanuma Vihari, 1 run, tossed up ball, Vihari gets to the pitch by waltzing down the track and knocks it down to long-on","Dec 17, 2018 2:26:16 PM"
27.4,"Lyon to Hanuma Vihari, no run, a giant stride forward from Vihari to smother this airy offbreak","Dec 17, 2018 2:25:48 PM"
27.3,"Lyon to Hanuma Vihari, no run, more flight, Vihari covers the line by moving off-side and offers a straight bat in defence","Dec 17, 2018 2:25:25 PM"
27.2,"Lyon to Hanuma Vihari, no run, Vihari is back and across to dead-bat this flat ball on the off-side with soft hands","Dec 17, 2018 2:25:04 PM"
27.1,"Lyon to Hanuma Vihari, no run, walks forward and across to push this length ball back to the bowler","Dec 17, 2018 2:24:46 PM"
26.6,"Hazlewood to Hanuma Vihari, 1 run, tucked into the mid-wicket region for a single","Dec 17, 2018 2:23:53 PM"
26.5,"Hazlewood to Hanuma Vihari, no run, keeps climbing does this shortish ball on leg-stump line, Vihari was looking to fend it, but the awkward bounce puts him in a tangle. Was late to take his bat away from it. Did it brush the glove? We have to wait for HotSpot/Snicko","Dec 17, 2018 2:23:11 PM"
26.4,"Hazlewood to Hanuma Vihari, no run, 136.8kph, short of a good length ball with a bit of extra bounce. Vihari was pressing forward to block and the ball thuds into his bottom hand","Dec 17, 2018 2:22:18 PM"
26.3,"Hazlewood to Hanuma Vihari, no run, short ball way outside off, Vihari shuffles across and lifts his bat up","Dec 17, 2018 2:21:41 PM"
26.2,"Hazlewood to Hanuma Vihari, no run, on-drives a pitched up delivery does Vihari, but can't get it past Starc at mid-on who makes a sliding stop to his left","Dec 17, 2018 2:21:04 PM"
26.1,"Hazlewood to Rahane, 1 run, tip-and-run single. Fullish ball just outside off, Rahane comes on the front foot and taps it with soft hands towards the cover-point region for a quick single","Dec 17, 2018 2:20:25 PM"
25.6,"Lyon to Hanuma Vihari, no run, now allows the ball to do its bit, stands tall on the back foot and blocks it on the off-side","Dec 17, 2018 2:19:09 PM"
